prime,prime_freq,prime_neighbors
called,7.757,5
danced,5.844,0
walked,5.481,0
lied,9.033,3
talked,7.705,1
escaped,7.687,2
played,5.081,3
joined,7.914,0
yelled,6.923,8
visited,7.124,0
agreed,6.131,0
entered,9.513,1
jumped,7.958,4
laughed,8.389,3
panicked,5.606,7
relaxed,9.351,4
sailed,7.063,4
sighed,8.264,2
weaved,6.569,4
worked,7.65,4
waved,10.998,4
studied,5.645,5
prayed,5.697,4
moved,7.044,10
tripped,9.925,5
toppled,9.614,4
cooked,9.014,0
fainted,11.099,5
glared,6.1,1
snorted,5.624,0
sewed,9.763,4
smiled,8.436,1
grinned,5.268,1
pushed,8.929,2
plugged,10.175,5
caused,9.104,6
mobbed,6.851,1
warned,5.938,3
winked,10.214,8
shouted,8.168,2
trembled,9.635,0
raged,6.898,1
winced,7.993,3
alarmed,10.572,1
hissed,7.311,3
mumbled,8.151,9
conferred,6.087,0
rented,5.398,7
rushed,10.323,2
confessed,12.143,6
smirked,7.571,5
stayed,7.357,1
logged,7.082,5
mourned,6.851,0
begged,8.786,0
developed,6.39,0
emitted,6.522,5
seized,10.46,7
betrayed,4.86,1
survived,7.559,2
startled,8.632,9
fleed,8.402,7
clapped,9.994,1
replied,8.712,6
focused,9.314,2
followed,5.609,0
surmised,6.31,2
failed,7.651,0
risked,5.924,4
melted,10.336,1
boiled,8.857,1
dreamed,NA,NA
stopped,NA,NA
shined,NA,NA
howled,NA,NA
turned,8.87,9
skipped,6.413,6
enjoyed,10.107,6
asked,7.764,2
bombed,6.215,1
knocked,8.017,3
ruined,9.544,2
casted,9.911,9
marked,8.698,6
chunked,8.021,6
pulled,9.776,1
wounded,9.833,0
strolled,11.183,2
tricked,7.53,0
ordered,7.809,1
drowned,9.641,5
dropped,6.956,0
packed,8.539,3
monitored,6.913,1
painted,8.721,2
controlled,11.434,4
moaned,8.845,1
clicked,10.841,2
picked,8.31,1
looked,5.704,0
grabbed,7.055,0
rained,5.666,1
scooped,6.5,4
avoided,11.496,4
added,7.494,3
pumped,10.025,5
chopped,8.511,2
totaled,6.009,3
granted,8.006,2
crafted,8.113,4
lifted,7.662,6
wrapped,9.594,1
floated,7.454,4
